,image,label
0,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img1623.tif,/data/Khartoum_data/training_masks/mask_img1623.tif
1,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img788.tif,/data/Khartoum_data/training_masks/mask_img788.tif
2,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img1145.tif,/data/Khartoum_data/training_masks/mask_img1145.tif
3,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img944.tif,/data/Khartoum_data/training_masks/mask_img944.tif
4,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img1179.tif,/data/Khartoum_data/training_masks/mask_img1179.tif
5,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img25.tif,/data/Khartoum_data/training_masks/mask_img25.tif
6,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img31.tif,/data/Khartoum_data/training_masks/mask_img31.tif
7,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img993.tif,/data/Khartoum_data/training_masks/mask_img993.tif
8,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img1192.tif,/data/Khartoum_data/training_masks/mask_img1192.tif
9,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img987.tif,/data/Khartoum_data/training_masks/mask_img987.tif
10,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img1353.tif,/data/Khartoum_data/training_masks/mask_img1353.tif
11,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img398.tif,/data/Khartoum_data/training_masks/mask_img398.tif
12,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img1233.tif,/data/Khartoum_data/training_masks/mask_img1233.tif
13,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img1555.tif,/data/Khartoum_data/training_masks/mask_img1555.tif
14,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img1596.tif,/data/Khartoum_data/training_masks/mask_img1596.tif
15,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img429.tif,/data/Khartoum_data/training_masks/mask_img429.tif
16,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img367.tif,/data/Khartoum_data/training_masks/mask_img367.tif
17,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img415.tif,/data/Khartoum_data/training_masks/mask_img415.tif
18,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img824.tif,/data/Khartoum_data/training_masks/mask_img824.tif
19,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img1031.tif,/data/Khartoum_data/training_masks/mask_img1031.tif
20,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img159.tif,/data/Khartoum_data/training_masks/mask_img159.tif
21,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img165.tif,/data/Khartoum_data/training_masks/mask_img165.tif
22,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img171.tif,/data/Khartoum_data/training_masks/mask_img171.tif
23,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img616.tif,/data/Khartoum_data/training_masks/mask_img616.tif
24,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img158.tif,/data/Khartoum_data/training_masks/mask_img158.tif
25,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img819.tif,/data/Khartoum_data/training_masks/mask_img819.tif
26,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img831.tif,/data/Khartoum_data/training_masks/mask_img831.tif
27,/data/Khartoum_data/RGB_imagery/RGB-PanSharpen_AOI_5_Khartoum_img1030.tif,/data/Khartoum_data/training_masks/mask_img1030.tif
